domain,have_IP,multi_domain,have_at,length,redirect,hyphen_present,short_url,dns,check_cert,domain_age,forwarding,anchor_urls,request_url,status
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
espn.go.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
esporte.uol.com.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
esporte.uol.com.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
europa.eu,0,1,1,0,1,1,1,1,1,0,1,1,1,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,0,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,0,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,0,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,0,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
extratorrent.cc,0,1,1,0,1,1,1,1,0,1,0,0,0,1
fazenda.gov.br,1,1,1,0,1,0,1,1,0,0,0,0,0,1
filehippo.com,0,1,1,0,1,1,1,1,1,1,1,1,0.5,1
filehippo.com,0,1,1,0,1,1,1,1,1,1,0,1,0.5,1
fishki.net,0,1,1,0,1,0,1,1,1,1,1,1,1,1
flirchi.com,0,1,1,0,1,1,1,1,0,1,0,0,0,1
fortune.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
fortune.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
fortune.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
fortune.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gawker.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
gizmodo.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
gizmodo.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
gizmodo.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
gizmodo.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
grantland.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,1,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,0,1,1,0,1,0,1,1,1,0,1,1,0.5,1
grantland.com,1,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,1,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,1,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
grantland.com,1,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
graphicriver.net,1,1,1,0,1,0,1,1,1,1,1,1,0,1
graphicriver.net,1,1,1,0,1,0,1,1,1,1,0,0,0,1
graphicriver.net,1,1,1,0,1,0,1,1,1,1,1,1,0,1
graphicriver.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
graphicriver.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
graphicriver.net,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
graphicriver.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
graphicriver.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0.5,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0.5,1
haberler.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0.5,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,0,0,0,1,1
hdfcbank.com,1,1,1,0,1,1,1,1,1,1,0,0,1,1
hdfcbank.com,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
hdfcbank.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
hdfcbank.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
hdfcbank.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
hdfcbank.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
hdfcbank.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,0,0,1,1,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,1,1,1,1,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,1,1,0.5,1,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,1,1,1,1,1
hdfcbank.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
hollywoodlife.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
hollywoodlife.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
hollywoodlife.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
hollywoodlife.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
hollywoodlife.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
how-old.net,1,1,1,0,1,0,1,1,0,1,0,0,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,1,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,0,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,1,1,1,0,1,0,1,1,1,1,1,0,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
hubpages.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,1,1,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,0,1,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,0,0.5,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,1,1,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,1,1,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,0,1,1,1
icicibank.com,1,1,1,0,1,0,1,1,1,1,0,1,1,1
iconosquare.com,0,1,1,0,1,0,1,1,1,0,1,1,0,1
iconosquare.com,1,1,1,0,1,0,1,1,1,0,1,1,0,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
indianexpress.com,1,1,1,0,1,0,1,1,1,0,1,1,0.5,1
ink361.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
ink361.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ink361.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
io9.com,0,1,1,0,1,0,1,1,0,1,1,0,0,1
io9.com,0,1,1,0,1,0,1,1,0,1,1,0,0,1
io9.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
irecommend.ru,1,1,1,0,1,0,1,1,1,1,1,1,1,1
jalopnik.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
jalopnik.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
jalopnik.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0.5,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
jezebel.com,0,1,1,0,1,0,1,1,1,1,1,0,1,1
kakaku.com,1,1,1,0,1,1,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
kakaku.com,0,1,1,0,1,0,1,1,1,1,1,0.5,0,1
